INPUT:task-id	INPUT:comment	INPUT:label
20	Предлагаю  поверку приборов учета воды на дому без снятия. Аккредитация Официально 89267248817  +7 (499) 372-04-03  +7 (499) 347-58-52  +7 (499) 340-14-38	ad
23	Оконный завод века офис в г. Армавир ул. Мира 44. Автоматические раздвижные двери, окна, балконы, терассы. 89094445557 Veka.me	ad
34	Генеральная уборка квартиры. Клининговая компания Москлининг.ПРО  Лучшая уборка в Москве.   Пишите, звоните:  84951757320  89779483307	ad
49	Заказать уборку после ремонта у нас. Москлининг.Про предлагает уборку после ремонта от профессионалов.  Пишите, звоните:  84951757320  89779483307  moscleaning.pro	ad
54	Профессиональное вскрытие замков служба СПАСАТЕЛЬ. Потеряли ключи или сломался замок, не можете попасть в квартиру звоните 89139120829 откроем дверь без повреждения.	ad
58	Закажите рекламу. Создам контекстную рекламу в РСЯ и Поиск. Предприниматели, для вас возможность увеличить поток клиентов. Звоните 89517295955	ad
66	Консультации: РВП, ВНЖ, гражданство РФ. Опытный юрист. Консультации по оформлению временной и постоянной регистрации в г.Москва и МО. Помощь в оформлении РВП. Ватсап 89152934753	ad
72	есть Три свободных номера люкс с питанием. в отеле возле моря в с.Морское г.Судак Крым есть свободные номера люкс с питанием, парковка, закрытая территория под видеонаблюдением. +79787403686	ad
77	Купим книги 8₽/кг. На постоянной основе закупаем 📚книги, 📰журналы по высоким ценам💰 Возможен самовывоз (от 100 шт/50кг). Расчет сразу☝️ Тел.: 89041865924 (Вайбер, Вотсап)	ad
78	Копировальные работы в вашем районе!. Предоставляем услуги:  ✅ Печати документов  ✅ Печати фотографий  ✅ Сканирования  ✅ Копирования  ✅ Ламинирования  Ждем вас с 9:00 до 19:00!  тел. 89212445863	ad
95	Привоз до 5 тонн.. Песок речной и карьерный, щебень все фракции, отсев щебня, керамзит до 6 кубов и др. Песок и щебень одной машиной от 1 до 3 тонн. Тел. 89085060423 Алексей. Вожу сам не диспетчер.	ad
100	Сделка рядом. Выкуп часов в Москве по хорошим ценам. Максимально близкая предварительная оценка без завышения предложения. Просто отправьте ваши часы на популярные мессенджеры +79856681111.	ad
109	"Уборка квартиры после ремонта - заказать. Клининговая компания ""Москлининг.Про"" предлагает уборку после ремонта от профессионалов.  Делаем уборку на совесть. Вы не узнаете свою квартиру после нашего клининга.  84951757320  89779483307  Сайт: moscleaning.pro"	ad
112	Воспользуйтесь нашими услугами!. Все операции с недвижимостью Бесплатные консультации Покупка, продажа, аренда жилой и коммерческой недвижимости Юридическое сопровождение сделок Почтовый ящик: ru@realtyltd.ru Телефон для связи: +79266234999	ad
118	Горстрах. Предоставляем все виды страхования, просчёт сразу в 20 страховых компаниях, вам не нужно больше ездить и искать для себя выгодное предложение, мы находимся по адресу ул.Советская 104Б(ТЦ Максимум) 2 этаж, Т.89856954545	ad
119	Уютная гостиница в Голицыно – от 1200 руб/cутки. Наша гостиница располагается в 15 минутах ходьбы от станции Голицыно по адресу: г. Голицыно, Заводской проспект, дом 34.  Забронировать номер можно:  на сайте ➡ golicingrad.ru  по телефону ☎ : 89850200829  #Голицыно #ГолицынГрад	ad
124	Поклейка обоев за один день. Шпатлёвка стен и потолков, покраска потолока, поклейка потолочного плинтуса. Выравнивание стен. Перенос розеток, поклейка обоев, наливной пол, ламинат, линолеум, плитка, плинтуса, обшивка пластиковыми панелями и тд. 79879990500	ad
127	Продукция GreenWay. Хочу представить вашему вниманию продукцию от компании GreenWay  Экологически чистые продукты  Это только малая часть продукции  За подробной информацией  Пишите на мой WhatsApp +79623279002  Или инстограм https://www.instagram.com/g.r.e.e.n.w.a.y_a.s.y.a?r=nametag	ad
131	Покупаем макулатуру,полимеры,пластик,алюминиевые банки. Покупаем вторсырьё,есть самовывоз,оплата в тот же день. Полимеры(ПЭТ бутылка, ящик ПП,биг-бэги,АБС пластик,труба ПНД, оконный профиль и др). Макулатура(книги, журналы, архивы, газеты,картон и др). Алюминиевая банка. 88462113270. 63-1-1@eco-world.pro	ad
137	"Флоат студия. Инновационный центр релаксации ""Float Studio33"" в г. Владимир по адресу ул. Студёная Гора, 34 А приглашает Вас окунуться в мир флоатинга и релакса. Для ""новичков"" действует Акция на первый сеанс, подробнее можете узнать на сайте https://float33.ru/#akcyi или по телефону 89040380473"	ad
140	Дома бани гаражи беседки. Здравствуйте!!! Дома, Бани, Беседки, Гаражи под ключ из высококачественного леса!!! Выполняем заказы любой сложности любые проекты поможем выбрать наиболее подходящий проект высококвалифицированные рабочие бригады, два собственных производства!!!!! т.89373881201	ad
146	Если техника забарахлила - сразу звоните. Ремонт стиральных и посудомоечных машин bosch, siemens, neff, aeg, electrolux, zanussi, ariston, indesit, candy, ardo, lg, samsung и др. Запчасти к перечисленным маркам всегда в наличии, поэтому 99 процентов ремонтов удается сделать с одного приезда оперативно. Опыт более 10 лет. Гарантия на все работы. 89778179627	ad
